[2025-01-19T12:11:24.146Z] INFO: Server is running on port 3000
[2025-01-19T12:11:27.050Z] INFO: Connected to MongoDB
[2025-01-19T12:12:39.881Z] INFO: Server is running on port 3000
[2025-01-19T12:12:42.678Z] INFO: Connected to MongoDB
[2025-01-19T12:15:37.450Z] INFO: Server is running on port 3000
[2025-01-19T12:15:38.404Z] INFO: Connected to MongoDB
[2025-01-19T12:33:29.280Z] INFO: MT: POST | PA: /maintainance | AU: Authenticated | ST: 200 | RT: 2.00 ms
[2025-01-19T12:33:29.290Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 7.00 ms
[2025-01-19T12:33:29.408Z] INFO: MT: GET | PA: /static/profile/64e9ba8eaeba5be8be479d00.https://universitykart.b-cdn.net//Content/upload/admin/xgguhkwb.zwq.jpg | AU: Unauthenticated | ST: 404 | RT: 0.00 ms
[2025-01-19T12:34:38.418Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 4.00 ms
[2025-01-19T12:34:38.425Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 3.00 ms
[2025-01-19T12:34:52.084Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 4.00 ms
[2025-01-19T13:04:07.659Z] INFO: MT: POST | PA: /maintainance | AU: Authenticated | ST: 200 | RT: 2.00 ms
[2025-01-19T13:04:07.665Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 3.00 ms
[2025-01-19T13:04:07.670Z] INFO: MT: POST | PA: /maintainance | AU: Authenticated | ST: 200 | RT: 2.00 ms
[2025-01-19T13:04:07.673Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 2.00 ms
[2025-01-19T13:04:07.698Z] INFO: MT: GET | PA: /static/profile/64e9ba8eaeba5be8be479d00.https://universitykart.b-cdn.net//Content/upload/admin/xgguhkwb.zwq.jpg | AU: Unauthenticated | ST: 404 | RT: 0.00 ms
[2025-01-19T13:52:11.985Z] INFO: Server is running on port 3000
[2025-01-19T13:52:12.791Z] INFO: Connected to MongoDB
[2025-01-19T15:05:58.108Z] INFO: MT: POST | PA: /maintainance | AU: Authenticated | ST: 200 | RT: 45.00 ms
